"ScanDateTime","ScanDate","PrintIDName","Section","Page","ZoneNumber","Cyan","Magenta","Yellow","Black"
"2013-12-03 11:04:26","2012/12/09","Press 40 (Monday- Best Effort)","A","13","3","0.491956","0.498962","0.555501","0.516495"
"2013-12-03 11:04:26","2012/12/09","Press 40 (Monday- Best Effort)","A","13","4","0.492219","0.498636","0.564012","0.515918"
"2013-12-03 11:04:26","2012/12/09","Press 40 (Monday- Best Effort)","A","13","5","0.491701","0.499468","0.571352","0.517861"
"2013-12-03 11:04:26","2012/12/09","Press 40 (Monday- Best Effort)","A","13","6","0.496903","0.50513","0.590808","0.524353"
"2013-12-03 11:04:26","2012/12/09","Press 40 (Monday- Best Effort)","A","13","7","0.5146","0.533936","0.618606","0.548899"
"2013-12-03 11:04:26","2012/12/09","Press 40 (Monday- Best Effort)","A","13","8","0.525447","0.539614","0.635917","0.557227"
"2013-12-03 11:04:46","2012/12/09","Press 40 (Monday- Best Effort)","A","15","1","0.502025","0.49467","0.532291","0.519423"
"2013-12-03 11:04:46","2012/12/09","Press 40 (Monday- Best Effort)","A","15","2","0.50979","0.501865","0.530254","0.52777"
"2013-12-03 11:04:46","2012/12/09","Press 40 (Monday- Best Effort)","A","15","3","0.515299","0.506429","0.544058","0.533835"
"2013-12-03 11:04:46","2012/12/09","Press 40 (Monday- Best Effort)","A","15","4","0.515579","0.509567","0.547657","0.533966"
"2013-12-03 11:04:46","2012/12/09","Press 40 (Monday- Best Effort)","A","15","5","0.513683","0.50974","0.544353","0.534852"
"2013-12-03 11:04:46","2012/12/09","Press 40 (Monday- Best Effort)","A","15","6","0.515955","0.513864","0.540534","0.537282"
"2013-12-03 11:04:46","2012/12/09","Press 40 (Monday- Best Effort)","A","15","7","0.511487","0.511815","0.540603","0.534238"
"2013-12-03 11:04:46","2012/12/09","Press 40 (Monday- Best Effort)","A","15","8","0.519109","0.507002","0.553057","0.535044"
"2013-12-03 11:05:04","2012/12/09","Press 40 (Monday- Best Effort)","A","16","1","0.584404","0.576469","0.615754","0.603022"
"2013-12-03 11:05:04","2012/12/09","Press 40 (Monday- Best Effort)","A","16","2","0.543871","0.527845","0.567857","0.55757"
"2013-12-03 11:05:04","2012/12/09","Press 40 (Monday- Best Effort)","A","16","3","0.543363","0.523649","0.545672","0.558513"
"2013-12-03 11:05:04","2012/12/09","Press 40 (Monday- Best Effort)","A","16","4","0.53287","0.516368","0.546728","0.548546"
"2013-12-03 11:05:04","2012/12/09","Press 40 (Monday- Best Effort)","A","16","5","0.525455","0.51707","0.543415","0.544348"
"2013-12-03 11:05:04","2012/12/09","Press 40 (Monday- Best Effort)","A","16","6","0.53403","0.517785","0.534132","0.548899"
"2013-12-03 11:05:04","2012/12/09","Press 40 (Monday- Best Effort)","A","16","7","0.537854","0.517176","0.531753","0.550312"
"2013-12-03 11:05:04","2012/12/09","Press 40 (Monday- Best Effort)","A","16","8","0.535417","0.520595","0.540051","0.552855"
"2013-12-03 11:06:39","2012/12/09","Press 40 (Monday- Best Effort)","A","17","1","0.568847","0.551402","0.559351","0.563512"
"2013-12-03 11:06:39","2012/12/09","Press 40 (Monday- Best Effort)","A","17","2","0.54259","0.5247","0.54015","0.557573"
"2013-12-03 11:06:39","2012/12/09","Press 40 (Monday- Best Effort)","A","17","3","0.541872","0.525123","0.540113","0.55758"
"2013-12-03 11:06:39","2012/12/09","Press 40 (Monday- Best Effort)","A","17","4","0.536656","0.519729","0.531312","0.551708"
"2013-12-03 11:06:39","2012/12/09","Press 40 (Monday- Best Effort)","A","17","5","0.530443","0.512132","0.519943","0.5445"
"2013-12-03 11:06:39","2012/12/09","Press 40 (Monday- Best Effort)","A","17","6","0.590842","0.573279","0.560828","0.609581"
"2013-12-03 11:06:39","2012/12/09","Press 40 (Monday- Best Effort)","A","17","7","0.578649","0.569599","0.559613","0.599366"
"2013-12-03 11:06:39","2012/12/09","Press 40 (Monday- Best Effort)","A","17","8","0.554015","0.552674","0.547944","0.578683"
"2013-12-03 11:07:13","2012/12/09","Press 40 (Monday- Best Effort)","A","18","1","0.509922","0.561","0.581052","0.560228"
"2013-12-03 11:07:13","2012/12/09","Press 40 (Monday- Best Effort)","A","18","2","0.514258","0.567315","0.58139","0.565776"
"2013-12-03 11:07:13","2012/12/09","Press 40 (Monday- Best Effort)","A","18","3","0.512044","0.550712","0.570708","0.55734"
"2013-12-03 11:07:13","2012/12/09","Press 40 (Monday- Best Effort)","A","18","4","0.509964","0.529192","0.568646","0.543474"
"2013-12-03 11:07:13","2012/12/09","Press 40 (Monday- Best Effort)","A","18","5","0.518958","0.536803","0.571926","0.551966"
"2013-12-03 11:07:13","2012/12/09","Press 40 (Monday- Best Effort)","A","18","6","0.517017","0.52952","0.564685","0.548256"
"2013-12-03 11:07:13","2012/12/09","Press 40 (Monday- Best Effort)","A","18","7","0.528489","0.540868","0.574123","0.558813"
"2013-12-03 11:07:13","2012/12/09","Press 40 (Monday- Best Effort)","A","18","8","0.543846","0.551759","0.585928","0.573778"
"2013-12-03 11:07:27","2012/12/09","Press 40 (Monday- Best Effort)","A","19","1","0.60668","0.51645","0.509924","0.582438"
"2013-12-03 11:07:27","2012/12/09","Press 40 (Monday- Best Effort)","A","19","2","0.59608","0.521644","0.519503","0.578246"
"2013-12-03 11:07:27","2012/12/09","Press 40 (Monday- Best Effort)","A","19","3","0.603991","0.526298","0.517107","0.585544"
"2013-12-03 11:07:27","2012/12/09","Press 40 (Monday- Best Effort)","A","19","4","0.587025","0.522618","0.518214","0.577785"
"2013-12-03 11:07:27","2012/12/09","Press 40 (Monday- Best Effort)","A","19","5","0.58","0.521229","0.518356","0.571668"
"2013-12-03 11:07:27","2012/12/09","Press 40 (Monday- Best Effort)","A","19","6","0.583623","0.51451","0.515749","0.569408"
"2013-12-03 11:07:27","2012/12/09","Press 40 (Monday- Best Effort)","A","19","7","0.586403","0.519133","0.520507","0.573969"
"2013-12-03 11:07:27","2012/12/09","Press 40 (Monday- Best Effort)","A","19","8","0.585325","0.516706","0.516471","0.571638"
"2013-12-03 11:07:46","2012/12/09","Press 40 (Monday- Best Effort)","A","20","1","0.502962","0.51208","0.567823","0.529491"
"2013-12-03 11:07:46","2012/12/09","Press 40 (Monday- Best Effort)","A","20","2","0.495397","0.504186","0.562647","0.520906"
"2013-12-03 11:07:46","2012/12/09","Press 40 (Monday- Best Effort)","A","20","3","0.492495","0.498158","0.551268","0.516606"
"2013-12-03 11:07:46","2012/12/09","Press 40 (Monday- Best Effort)","A","20","4","0.497268","0.499616","0.550681","0.518903"
"2013-12-03 11:07:46","2012/12/09","Press 40 (Monday- Best Effort)","A","20","5","0.494417","0.492627","0.552176","0.514231"
"2013-12-03 11:07:46","2012/12/09","Press 40 (Monday- Best Effort)","A","20","6","0.494516","0.493174","0.546029","0.514744"
"2013-12-03 11:07:46","2012/12/09","Press 40 (Monday- Best Effort)","A","20","7","0.499546","0.493956","0.548928","0.517522"
"2013-12-03 11:07:46","2012/12/09","Press 40 (Monday- Best Effort)","A","20","8","0.494748","0.48886","0.542478","0.512687"
"2013-12-03 11:08:15","2012/12/09","Press 40 (Monday- Best Effort)","A","21","1","0.423985","0.438753","0.454274","0.449894"
"2013-12-03 11:08:15","2012/12/09","Press 40 (Monday- Best Effort)","A","21","2","0.449973","0.461785","0.475639","0.475852"
"2013-12-03 11:08:15","2012/12/09","Press 40 (Monday- Best Effort)","A","21","3","0.454845","0.465062","0.478453","0.479568"
"2013-12-03 11:08:15","2012/12/09","Press 40 (Monday- Best Effort)","A","21","4","0.453686","0.466342","0.483731","0.480181"
"2013-12-03 11:08:15","2012/12/09","Press 40 (Monday- Best Effort)","A","21","5","0.456195","0.464232","0.470011","0.480547"
"2013-12-03 11:08:15","2012/12/09","Press 40 (Monday- Best Effort)","A","21","6","0.459197","0.463383","0.470741","0.480526"
"2013-12-03 11:08:15","2012/12/09","Press 40 (Monday- Best Effort)","A","21","7","0.461311","0.466067","0.47777","0.482837"
"2013-12-03 11:08:15","2012/12/09","Press 40 (Monday- Best Effort)","A","21","8","0.477175","0.472954","0.487995","0.495139"
"2013-12-03 11:09:50","2012/12/09","Press 40 (Monday- Best Effort)","A","22","1","0.574995","0.416545","0.410441","0.505198"
"2013-12-03 11:09:50","2012/12/09","Press 40 (Monday- Best Effort)","A","22","2","0.552809","0.407751","0.396193","0.490309"
"2013-12-03 11:09:50","2012/12/09","Press 40 (Monday- Best Effort)","A","22","3","0.520569","0.385753","0.371221","0.459925"
"2013-12-03 11:09:50","2012/12/09","Press 40 (Monday- Best Effort)","A","22","4","0.488782","0.372341","0.35304","0.439231"
"2013-12-03 11:09:50","2012/12/09","Press 40 (Monday- Best Effort)","A","22","5","-1","-1","-1","-1"
"2013-12-03 11:09:50","2012/12/09","Press 40 (Monday- Best Effort)","A","22","6","0.413129","0.360387","0.354777","0.39838"
"2013-12-03 11:09:50","2012/12/09","Press 40 (Monday- Best Effort)","A","22","7","0.425013","0.382075","0.373272","0.418577"
"2013-12-03 11:09:50","2012/12/09","Press 40 (Monday- Best Effort)","A","22","8","0.45193","0.419238","0.411185","0.45223"
"2013-12-03 11:08:52","2012/12/09","Press 40 (Monday- Best Effort)","A","23","1","0.455282","0.445123","0.495464","0.469512"
"2013-12-03 11:08:52","2012/12/09","Press 40 (Monday- Best Effort)","A","23","2","0.460346","0.447264","0.488835","0.472815"
"2013-12-03 11:08:52","2012/12/09","Press 40 (Monday- Best Effort)","A","23","3","0.456543","0.444422","0.491412","0.469928"
"2013-12-03 11:08:52","2012/12/09","Press 40 (Monday- Best Effort)","A","23","4","0.455362","0.444914","0.495872","0.469571"
"2013-12-03 11:08:52","2012/12/09","Press 40 (Monday- Best Effort)","A","23","5","0.464155","0.449339","0.49021","0.475164"
"2013-12-03 11:08:52","2012/12/09","Press 40 (Monday- Best Effort)","A","23","6","0.47077","0.458575","0.49206","0.483939"
"2013-12-03 11:08:52","2012/12/09","Press 40 (Monday- Best Effort)","A","23","7","0.477437","0.459832","0.483479","0.486949"
"2013-12-03 11:08:52","2012/12/09","Press 40 (Monday- Best Effort)","A","23","8","0.479341","0.46176","0.478689","0.490322"
"2013-12-03 11:10:21","2012/12/09","Press 40 (Monday- Best Effort)","A","27","1","0.493323","0.475674","0.528932","0.504767"
"2013-12-03 11:10:21","2012/12/09","Press 40 (Monday- Best Effort)","A","27","2","0.489998","0.479271","0.522814","0.505067"
"2013-12-03 11:10:21","2012/12/09","Press 40 (Monday- Best Effort)","A","27","3","0.493687","0.486897","0.518326","0.511366"
